"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0402_1005Metric";1;"0.1u";;;
2;"J1";"Hirose_DF13-06P-1.25DSA_1x06_P1.25mm_Vertical";1;"Conn_01x06_Female";;;
3;"R1";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";1;"100k";;;
4;"K1";"MIC_ICS-43432";1;"ICS-43432";;;
